Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,countryCODE
22.55491667,23.39225,23.235,23.16916667,23.42633333,22.93966667,23.68241667,23.77933333,22.83958333,23.39895833,23.17058333,22.77458333,22.74070833,22.955375,23.131,22.760625,22.94695833,23.32325,23.59504167,22.75770833,22.88545833,EGY
25.78191667,25.66308333,25.91316667,25.73408333,25.35441667,26.03575,26.13108333,25.27958333,25.03125,24.81358333,25.169125,25.10095833,24.93554167,25.023875,25.15295833,25.016375,24.85745833,25.30041667,24.70879167,25.2675,25.25954167,SLV
6.401833333,5.14625,5.25225,6.165833333,4.5785,5.778333333,5.361416667,6.456833333,5.622,5.601583333,4.583833333,5.748041667,5.018583333,5.559041667,6.122166667,5.311083333,5.838041667,5.219083333,5.573208333,5.978791667,4.912208333,EST
23.2395,22.98875,23.20866667,23.3965,23.35858333,23.42383333,23.68941667,23.44683333,23.278125,23.32108333,23.27329167,23.23883333,23.24841667,23.30520833,23.17691667,23.03858333,23.05,23.34066667,23.52179167,23.49204167,23.23966667,ETH
25.29633333,25.00716667,25.14875,25.716,25.86108333,25.32341667,25.86533333,25.68666667,25.128375,25.09379167,24.92220833,25.11825,24.94025,25.05041667,25.187,25.26279167,25.11654167,24.88891667,25.47225,25.256875,25.06020833,FJI
2.649583333,1.782916667,1.773916667,2.354083333,1.693083333,2.227583333,1.22675,2.3225,1.795583333,1.844666667,0.633875,2.18975,1.585583333,2.364791667,2.36925,2.049416667,2.184708333,1.76925,1.636958333,2.651708333,1.09625,FIN
13.46291667,13.15016667,14.15616667,13.89975,13.01391667,14.096,13.72066667,13.90491667,13.47733333,13.01245833,13.22004167,13.465125,13.23866667,13.05695833,13.42916667,13.20241667,13.01495833,13.02445833,12.80416667,13.82125,13.12375,FRA
26.56675,26.56641667,26.65716667,26.72191667,26.47458333,26.54308333,26.91816667,26.70433333,26.1505,26.17058333,26.36666667,26.592875,25.92733333,26.23066667,26.26208333,26.15408333,26.10725,26.36995833,26.30791667,26.049625,26.31104167,PYF
24.24025,24.5445,24.64708333,24.93691667,24.46475,24.73041667,25.39483333,24.73683333,24.317375,24.40008333,24.37129167,24.36025,23.99133333,24.38225,24.45020833,24.45204167,24.48333333,24.47225,24.54354167,24.12625,24.58383333,GAB
28.03433333,28.24066667,27.90408333,28.19008333,28.29875,28.35016667,28.82608333,27.7575,27.76320833,28.01995833,28.08875,27.76579167,27.55241667,27.85891667,27.73554167,27.366625,27.68004167,27.493375,28.17133333,27.72708333,27.8065,GMB
7.390916667,7.397833333,8.718333333,9.427583333,9.117916667,8.550666667,9.85875,9.769166667,8.588166667,9.39525,8.546791667,8.34125,8.325375,8.717166667,8.781458333,8.348125,8.280291667,8.937,9.668708333,7.55425,8.961833333,GEO
9.505833333,8.6335,9.847,9.0335,7.374416667,9.048666667,9.17175,9.62075,9.23625,8.38575,8.447,8.948333333,8.726875,8.577916667,9.03,8.925041667,8.58175,8.348,8.213875,9.422791667,8.532291667,DEU
26.83325,27.08891667,26.96608333,27.21225,27.13083333,27.07291667,27.6635,27.11991667,26.939625,26.85595833,26.80791667,26.700125,26.57108333,26.92191667,27.05420833,26.86879167,26.86691667,26.81716667,27.06716667,26.73066667,27.00958333,GHA
14.78533333,15.04058333,16.04466667,15.10225,14.84675,14.76325,15.50608333,15.99216667,15.39045833,15.3805,15.16066667,15.035875,15.014,14.78625,14.81958333,15.11295833,15.19841667,15.42320833,15.551125,14.84779167,15.23120833,GRC
27.15708333,27.34841667,27.251,27.63533333,27.28625,27.45233333,27.946,27.46391667,26.90358333,27.08954167,27.08375,27.21620833,26.810375,27.182875,27.089125,26.95820833,26.83475,26.94866667,27.153,27.04529167,27.05675,GRD
23.79075,23.77633333,24.02166667,23.96066667,23.45008333,24.07683333,24.3065,23.41841667,23.14508333,22.95554167,23.3505,23.31691667,23.053625,23.29041667,23.28916667,23.308,23.11420833,23.53120833,22.96041667,23.461,23.48783333,GTM
25.78408333,26.02783333,25.75541667,25.94608333,26.10075,25.98566667,26.51966667,25.84191667,25.67470833,25.84041667,25.905625,25.768125,25.54,25.84029167,25.70166667,25.5295,25.63054167,25.584875,26.048125,25.65666667,25.83633333,GIN
26.50358333,26.31041667,26.43025,26.888,26.48758333,26.73616667,27.1385,26.42375,26.160125,26.32075,26.21470833,26.4015,26.07675,26.40316667,26.23233333,26.06329167,26.04375,26.33983333,26.31320833,26.12329167,26.30983333,GUY
26.67183333,26.61958333,27.10525,27.10425,26.65608333,27.54583333,27.39541667,26.85016667,26.559875,26.60045833,26.657625,26.79370833,26.5035,26.73058333,26.63633333,26.654,26.514375,26.49520833,26.33091667,26.51345833,26.66066667,HTI
25.46158333,25.292,25.67583333,25.83216667,25.17933333,25.83966667,26.09925,25.21883333,24.768625,24.48016667,24.93345833,24.95616667,24.72404167,24.91520833,24.97795833,24.89225,24.709875,25.02733333,24.51025,25.09966667,25.016,HND
10.99633333,10.12091667,11.54541667,10.30275,9.357,9.871916667,10.36183333,10.655,11.00329167,9.955166667,10.12791667,10.27429167,10.066625,9.757958333,10.14245833,10.48316667,10.21820833,10.34904167,10.271625,10.49995833,10.089,HUN
1.769083333,1.70325,1.584333333,1.06825,2.3195,2.223666667,1.60775,1.84225,1.733666667,2.049083333,1.69275,2.007458333,2.190875,1.7985,1.744,1.606166667,2.1635,1.943625,1.808333333,1.974375,2.047416667,ISL
24.22291667,24.40866667,24.29641667,24.42975,24.43691667,24.04733333,24.75541667,24.65983333,24.43291667,24.33308333,24.61583333,24.20866667,24.19654167,24.00520833,24.31008333,24.1635,24.07395833,24.40383333,24.2975,24.14245833,24.32395833,IND
26.17016667,26.13883333,26.08425,26.22966667,26.215,26.37191667,26.75475,26.1335,25.96241667,25.86108333,25.86720833,25.93425,25.73208333,26.06804167,26.017875,25.77033333,25.707,25.94679167,25.971375,25.78095833,25.91054167,IDN
20.68583333,21.90308333,22.64241667,22.431,23.01375,21.92116667,23.45541667,23.49333333,22.347,23.128375,22.55320833,22.12095833,22.09658333,21.972,22.13058333,21.88191667,22.24370833,22.6095,23.00079167,21.44445833,22.629125,IRQ
9.789,9.641583333,9.884833333,10.51891667,9.591166667,10.6835,10.4595,10.45816667,9.728958333,9.571125,9.765416667,9.836416667,9.793416667,9.94975,9.978708333,9.909166667,9.892916667,9.543291667,9.235791667,10.03333333,9.654291667,IRL
19.02866667,19.97541667,20.50033333,20.04333333,20.52808333,19.82316667,20.96641667,20.89216667,20.045375,20.63683333,20.32216667,19.86666667,19.80741667,19.83541667,19.95979167,19.757,19.93216667,20.40754167,20.68645833,19.59175,20.17970833,ISR
13.58175,13.40966667,14.28483333,13.23408333,13.007,13.83883333,13.66233333,13.763,13.56175,13.07991667,13.225375,13.38533333,13.246,12.63583333,13.05875,13.24708333,13.109875,13.09945833,12.84966667,13.5385,13.14670833,ITA
26.72041667,26.523,26.911,26.89391667,26.47483333,27.19916667,27.23558333,26.53566667,26.33466667,26.15275,26.42983333,26.57745833,26.31820833,26.433625,26.44845833,26.45533333,26.282625,26.253875,25.95425,26.35529167,26.49841667,JAM
12.48425,12.05516667,13.22975,12.47541667,12.08283333,12.75241667,13.24475,13.08008333,12.15375,12.06508333,12.18054167,12.17516667,12.60291667,12.07666667,11.9705,12.29766667,11.98545833,12.16129167,12.29725,12.35891667,12.00945833,JPN
18.60491667,19.67991667,20.26558333,19.84791667,20.422,19.48458333,20.77358333,20.62116667,19.801875,20.42220833,19.96604167,19.61325,19.57179167,19.5365,19.70725,19.48125,19.65991667,20.126125,20.53116667,19.31320833,19.96370833,JOR
5.809666667,4.70225,5.5365,7.335333333,5.100833333,7.065333333,6.248916667,6.9755,5.618958333,6.000875,6.313583333,5.216333333,6.175375,5.75025,6.026041667,5.676958333,5.488291667,5.913208333,5.820083333,5.203708333,5.505083333,KAZ
